# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 18K of event 'cycles'
# Event count (approx.): 1004956412
#
# Overhead  Command  Shared Object        Symbol                                    
# ........  .......  ...................  ..........................................
#
     0.03%  python   libc-2.19.so         [.] 0x00074104                            
     0.03%  python   libpython2.7.so.1.0  [.] compiler_for                          
     0.03%  python   libpython2.7.so.1.0  [.] func_dealloc                          
     0.03%  python   libc-2.19.so         [.] 0x0007272c                            
     0.03%  python   libc-2.19.so         [.] 0x00073c1c                            
     0.03%  python   libc-2.19.so         [.] 0x0007305c                            
     0.03%  python   libc-2.19.so         [.] 0x000731a0                            
     0.03%  python   ld-2.19.so           [.] 0x000093dc                            
     0.03%  python   libc-2.19.so         [.] 0x00073000                            
     0.03%  python   libc-2.19.so         [.] 0x000724f4                            
     0.03%  python   libc-2.19.so         [.] 0x00072554                            
     0.03%  python   libc-2.19.so         [.] 0x00074138                            
     0.03%  python   libc-2.19.so         [.] 0x00073eb0                            
     0.03%  python   libc-2.19.so         [.] 0x0007501c                            
     0.03%  python   libc-2.19.so         [.] 0x000741c4                            
     0.03%  python   libc-2.19.so         [.] 0x0007413c                            
     0.03%  python   libc-2.19.so         [.] 0x00072730                            
